,date,PM2.5,date_utc,url_date,temp
1166,2020-08-18 14:00:00,21.0,2020-08-18 07:00:00,2020/08/18/0700Z,32.1
1167,2020-08-18 15:00:00,26.0,2020-08-18 08:00:00,2020/08/18/0800Z,32.1
1168,2020-08-18 16:00:00,24.0,2020-08-18 09:00:00,2020/08/18/0900Z,32.4
1169,2020-08-18 17:00:00,23.0,2020-08-18 10:00:00,2020/08/18/1000Z,32.4
1170,2020-08-18 18:00:00,30.0,2020-08-18 11:00:00,2020/08/18/1100Z,32.4
1171,2020-08-18 19:00:00,32.0,2020-08-18 12:00:00,2020/08/18/1200Z,30.6
1172,2020-08-18 20:00:00,34.0,2020-08-18 13:00:00,2020/08/18/1300Z,30.6
1173,2020-08-18 21:00:00,21.0,2020-08-18 14:00:00,2020/08/18/1400Z,30.6
1174,2020-08-18 22:00:00,21.0,2020-08-18 15:00:00,2020/08/18/1500Z,29.2
1175,2020-08-18 23:00:00,22.0,2020-08-18 16:00:00,2020/08/18/1600Z,29.2
1176,2020-08-19 00:00:00,19.0,2020-08-18 17:00:00,2020/08/18/1700Z,29.2
1177,2020-08-19 01:00:00,19.0,2020-08-18 18:00:00,2020/08/18/1800Z,28.5
1178,2020-08-19 02:00:00,18.0,2020-08-18 19:00:00,2020/08/18/1900Z,28.5
1179,2020-08-19 03:00:00,14.0,2020-08-18 20:00:00,2020/08/18/2000Z,28.5
1180,2020-08-19 04:00:00,14.0,2020-08-18 21:00:00,2020/08/18/2100Z,26.5
1181,2020-08-19 05:00:00,18.0,2020-08-18 22:00:00,2020/08/18/2200Z,26.5
1182,2020-08-19 06:00:00,33.0,2020-08-18 23:00:00,2020/08/18/2300Z,26.5
1183,2020-08-19 07:00:00,30.0,2020-08-19 00:00:00,2020/08/19/0000Z,26.9
1184,2020-08-19 08:00:00,28.0,2020-08-19 01:00:00,2020/08/19/0100Z,26.9
1185,2020-08-19 09:00:00,27.0,2020-08-19 02:00:00,2020/08/19/0200Z,26.9
1186,2020-08-19 10:00:00,26.0,2020-08-19 03:00:00,2020/08/19/0300Z,28.6
1187,2020-08-19 11:00:00,20.0,2020-08-19 04:00:00,2020/08/19/0400Z,28.6
1188,2020-08-19 12:00:00,19.0,2020-08-19 05:00:00,2020/08/19/0500Z,28.6
1189,2020-08-19 13:00:00,24.0,2020-08-19 06:00:00,2020/08/19/0600Z,30.3
1190,2020-08-19 14:00:00,23.0,2020-08-19 07:00:00,2020/08/19/0700Z,30.3
1191,2020-08-19 15:00:00,17.0,2020-08-19 08:00:00,2020/08/19/0800Z,30.3
1192,2020-08-19 16:00:00,16.0,2020-08-19 09:00:00,2020/08/19/0900Z,30.5
1193,2020-08-19 17:00:00,16.0,2020-08-19 10:00:00,2020/08/19/1000Z,30.5
1194,2020-08-19 18:00:00,18.0,2020-08-19 11:00:00,2020/08/19/1100Z,30.5
1195,2020-08-19 19:00:00,13.0,2020-08-19 12:00:00,2020/08/19/1200Z,29.6
1196,2020-08-19 20:00:00,19.0,2020-08-19 13:00:00,2020/08/19/1300Z,29.6
1197,2020-08-19 21:00:00,18.0,2020-08-19 14:00:00,2020/08/19/1400Z,29.6
1198,2020-08-19 22:00:00,19.0,2020-08-19 15:00:00,2020/08/19/1500Z,29.2
1199,2020-08-19 23:00:00,13.0,2020-08-19 16:00:00,2020/08/19/1600Z,29.2
1200,2020-08-20 00:00:00,16.0,2020-08-19 17:00:00,2020/08/19/1700Z,29.2
1201,2020-08-20 01:00:00,13.0,2020-08-19 18:00:00,2020/08/19/1800Z,28.3
1202,2020-08-20 02:00:00,15.0,2020-08-19 19:00:00,2020/08/19/1900Z,28.3
1203,2020-08-20 03:00:00,22.0,2020-08-19 20:00:00,2020/08/19/2000Z,28.3
1204,2020-08-20 04:00:00,24.0,2020-08-19 21:00:00,2020/08/19/2100Z,26.5
1205,2020-08-20 05:00:00,28.0,2020-08-19 22:00:00,2020/08/19/2200Z,26.5
1206,2020-08-20 06:00:00,21.0,2020-08-19 23:00:00,2020/08/19/2300Z,26.5
1207,2020-08-20 07:00:00,26.0,2020-08-20 00:00:00,2020/08/20/0000Z,27.0
1208,2020-08-20 08:00:00,31.0,2020-08-20 01:00:00,2020/08/20/0100Z,27.0
1209,2020-08-20 09:00:00,31.0,2020-08-20 02:00:00,2020/08/20/0200Z,27.0
1210,2020-08-20 10:00:00,32.0,2020-08-20 03:00:00,2020/08/20/0300Z,29.7
1211,2020-08-20 11:00:00,35.0,2020-08-20 04:00:00,2020/08/20/0400Z,29.7
1212,2020-08-20 12:00:00,34.0,2020-08-20 05:00:00,2020/08/20/0500Z,29.7
1213,2020-08-20 13:00:00,33.0,2020-08-20 06:00:00,2020/08/20/0600Z,31.8
1214,2020-08-20 14:00:00,32.0,2020-08-20 07:00:00,2020/08/20/0700Z,31.8
1215,2020-08-20 15:00:00,27.0,2020-08-20 08:00:00,2020/08/20/0800Z,31.8
1216,2020-08-20 16:00:00,27.0,2020-08-20 09:00:00,2020/08/20/0900Z,32.0
1217,2020-08-20 17:00:00,31.0,2020-08-20 10:00:00,2020/08/20/1000Z,32.0
1218,2020-08-20 18:00:00,25.0,2020-08-20 11:00:00,2020/08/20/1100Z,32.0
1219,2020-08-20 19:00:00,28.0,2020-08-20 12:00:00,2020/08/20/1200Z,29.7
1220,2020-08-20 20:00:00,27.0,2020-08-20 13:00:00,2020/08/20/1300Z,29.7
1221,2020-08-20 21:00:00,31.0,2020-08-20 14:00:00,2020/08/20/1400Z,29.7
1222,2020-08-20 22:00:00,28.0,2020-08-20 15:00:00,2020/08/20/1500Z,29.5
1223,2020-08-20 23:00:00,26.0,2020-08-20 16:00:00,2020/08/20/1600Z,29.5
1224,2020-08-21 00:00:00,19.0,2020-08-20 17:00:00,2020/08/20/1700Z,29.5
1225,2020-08-21 01:00:00,22.0,2020-08-20 18:00:00,2020/08/20/1800Z,28.9
1226,2020-08-21 02:00:00,22.0,2020-08-20 19:00:00,2020/08/20/1900Z,28.9
1227,2020-08-21 03:00:00,23.0,2020-08-20 20:00:00,2020/08/20/2000Z,28.9
1228,2020-08-21 04:00:00,27.0,2020-08-20 21:00:00,2020/08/20/2100Z,27.8
1229,2020-08-21 05:00:00,22.0,2020-08-20 22:00:00,2020/08/20/2200Z,27.8
1230,2020-08-21 06:00:00,30.0,2020-08-20 23:00:00,2020/08/20/2300Z,27.8
1231,2020-08-21 07:00:00,25.0,2020-08-21 00:00:00,2020/08/21/0000Z,27.9
1232,2020-08-21 08:00:00,22.0,2020-08-21 01:00:00,2020/08/21/0100Z,27.9
1233,2020-08-21 09:00:00,22.0,2020-08-21 02:00:00,2020/08/21/0200Z,27.9
1234,2020-08-21 10:00:00,21.0,2020-08-21 03:00:00,2020/08/21/0300Z,30.4
1235,2020-08-21 11:00:00,17.0,2020-08-21 04:00:00,2020/08/21/0400Z,30.4
1236,2020-08-21 12:00:00,22.0,2020-08-21 05:00:00,2020/08/21/0500Z,30.4
1237,2020-08-21 13:00:00,24.0,2020-08-21 06:00:00,2020/08/21/0600Z,31.8
1238,2020-08-21 14:00:00,22.0,2020-08-21 07:00:00,2020/08/21/0700Z,31.8
1239,2020-08-21 15:00:00,22.0,2020-08-21 08:00:00,2020/08/21/0800Z,31.8
1240,2020-08-21 16:00:00,20.0,2020-08-21 09:00:00,2020/08/21/0900Z,30.0
1241,2020-08-21 17:00:00,26.0,2020-08-21 10:00:00,2020/08/21/1000Z,30.0
1242,2020-08-21 18:00:00,16.0,2020-08-21 11:00:00,2020/08/21/1100Z,30.0
1243,2020-08-21 19:00:00,10.0,2020-08-21 12:00:00,2020/08/21/1200Z,26.3
1244,2020-08-21 20:00:00,17.0,2020-08-21 13:00:00,2020/08/21/1300Z,26.3
1245,2020-08-21 21:00:00,16.0,2020-08-21 14:00:00,2020/08/21/1400Z,26.3
1246,2020-08-21 22:00:00,10.0,2020-08-21 15:00:00,2020/08/21/1500Z,27.2
1247,2020-08-21 23:00:00,15.0,2020-08-21 16:00:00,2020/08/21/1600Z,27.2
1248,2020-08-22 00:00:00,13.0,2020-08-21 17:00:00,2020/08/21/1700Z,27.2
1249,2020-08-22 01:00:00,11.0,2020-08-21 18:00:00,2020/08/21/1800Z,27.4
1250,2020-08-22 02:00:00,13.0,2020-08-21 19:00:00,2020/08/21/1900Z,27.4
1251,2020-08-22 03:00:00,15.0,2020-08-21 20:00:00,2020/08/21/2000Z,27.4
1252,2020-08-22 04:00:00,13.0,2020-08-21 21:00:00,2020/08/21/2100Z,27.2
1253,2020-08-22 05:00:00,21.0,2020-08-21 22:00:00,2020/08/21/2200Z,27.2
1254,2020-08-22 06:00:00,17.0,2020-08-21 23:00:00,2020/08/21/2300Z,27.2
1255,2020-08-22 07:00:00,22.0,2020-08-22 00:00:00,2020/08/22/0000Z,27.6
1256,2020-08-22 08:00:00,23.0,2020-08-22 01:00:00,2020/08/22/0100Z,27.6
1257,2020-08-22 09:00:00,23.0,2020-08-22 02:00:00,2020/08/22/0200Z,27.6
1258,2020-08-22 10:00:00,24.0,2020-08-22 03:00:00,2020/08/22/0300Z,30.0
1259,2020-08-22 11:00:00,25.0,2020-08-22 04:00:00,2020/08/22/0400Z,30.0
1260,2020-08-22 12:00:00,23.0,2020-08-22 05:00:00,2020/08/22/0500Z,30.0
1261,2020-08-22 13:00:00,14.0,2020-08-22 06:00:00,2020/08/22/0600Z,30.9
1262,2020-08-22 14:00:00,20.0,2020-08-22 07:00:00,2020/08/22/0700Z,30.9
1263,2020-08-22 15:00:00,15.0,2020-08-22 08:00:00,2020/08/22/0800Z,30.9
1264,2020-08-22 16:00:00,12.0,2020-08-22 09:00:00,2020/08/22/0900Z,30.8
1265,2020-08-22 17:00:00,18.0,2020-08-22 10:00:00,2020/08/22/1000Z,30.8
1266,2020-08-22 18:00:00,19.0,2020-08-22 11:00:00,2020/08/22/1100Z,30.8
1267,2020-08-22 19:00:00,17.0,2020-08-22 12:00:00,2020/08/22/1200Z,29.0
1268,2020-08-22 20:00:00,19.0,2020-08-22 13:00:00,2020/08/22/1300Z,29.0
1269,2020-08-22 21:00:00,13.0,2020-08-22 14:00:00,2020/08/22/1400Z,29.0
1270,2020-08-22 22:00:00,19.0,2020-08-22 15:00:00,2020/08/22/1500Z,28.6
1271,2020-08-22 23:00:00,22.0,2020-08-22 16:00:00,2020/08/22/1600Z,28.6
1272,2020-08-23 00:00:00,14.0,2020-08-22 17:00:00,2020/08/22/1700Z,28.6
1273,2020-08-23 01:00:00,20.0,2020-08-22 18:00:00,2020/08/22/1800Z,28.1
1274,2020-08-23 02:00:00,13.0,2020-08-22 19:00:00,2020/08/22/1900Z,28.1
1275,2020-08-23 03:00:00,20.0,2020-08-22 20:00:00,2020/08/22/2000Z,28.1
1276,2020-08-23 04:00:00,13.0,2020-08-22 21:00:00,2020/08/22/2100Z,27.7
1277,2020-08-23 05:00:00,13.0,2020-08-22 22:00:00,2020/08/22/2200Z,27.7
1278,2020-08-23 06:00:00,17.0,2020-08-22 23:00:00,2020/08/22/2300Z,27.7
1279,2020-08-23 07:00:00,20.0,2020-08-23 00:00:00,2020/08/23/0000Z,27.7
1280,2020-08-23 08:00:00,22.0,2020-08-23 01:00:00,2020/08/23/0100Z,27.7
1281,2020-08-23 09:00:00,17.0,2020-08-23 02:00:00,2020/08/23/0200Z,27.7
1282,2020-08-23 10:00:00,20.0,2020-08-23 03:00:00,2020/08/23/0300Z,30.3
1283,2020-08-23 11:00:00,25.0,2020-08-23 04:00:00,2020/08/23/0400Z,30.3
1284,2020-08-23 12:00:00,23.0,2020-08-23 05:00:00,2020/08/23/0500Z,30.3
1285,2020-08-23 13:00:00,22.0,2020-08-23 06:00:00,2020/08/23/0600Z,31.3
1286,2020-08-23 14:00:00,20.0,2020-08-23 07:00:00,2020/08/23/0700Z,31.3
1287,2020-08-23 15:00:00,13.0,2020-08-23 08:00:00,2020/08/23/0800Z,31.3
1288,2020-08-23 16:00:00,13.0,2020-08-23 09:00:00,2020/08/23/0900Z,31.3
1289,2020-08-23 17:00:00,7.0,2020-08-23 10:00:00,2020/08/23/1000Z,31.3
1290,2020-08-23 18:00:00,10.0,2020-08-23 11:00:00,2020/08/23/1100Z,31.3
1291,2020-08-23 19:00:00,16.0,2020-08-23 12:00:00,2020/08/23/1200Z,28.9
1292,2020-08-23 20:00:00,14.0,2020-08-23 13:00:00,2020/08/23/1300Z,28.9
1293,2020-08-23 21:00:00,23.0,2020-08-23 14:00:00,2020/08/23/1400Z,28.9
1294,2020-08-23 22:00:00,18.0,2020-08-23 15:00:00,2020/08/23/1500Z,28.5
1295,2020-08-23 23:00:00,23.0,2020-08-23 16:00:00,2020/08/23/1600Z,28.5
1296,2020-08-24 00:00:00,14.0,2020-08-23 17:00:00,2020/08/23/1700Z,28.5
1297,2020-08-24 01:00:00,14.0,2020-08-23 18:00:00,2020/08/23/1800Z,28.1
1298,2020-08-24 02:00:00,9.0,2020-08-23 19:00:00,2020/08/23/1900Z,28.1
1299,2020-08-24 03:00:00,9.0,2020-08-23 20:00:00,2020/08/23/2000Z,28.1
1300,2020-08-24 04:00:00,14.0,2020-08-23 21:00:00,2020/08/23/2100Z,27.4
1301,2020-08-24 05:00:00,14.0,2020-08-23 22:00:00,2020/08/23/2200Z,27.4
1302,2020-08-24 06:00:00,26.0,2020-08-23 23:00:00,2020/08/23/2300Z,27.4
1303,2020-08-24 07:00:00,35.0,2020-08-24 00:00:00,2020/08/24/0000Z,27.5
1304,2020-08-24 08:00:00,24.0,2020-08-24 01:00:00,2020/08/24/0100Z,27.5
1305,2020-08-24 09:00:00,20.0,2020-08-24 02:00:00,2020/08/24/0200Z,27.5
1306,2020-08-24 10:00:00,14.0,2020-08-24 03:00:00,2020/08/24/0300Z,30.2
1307,2020-08-24 11:00:00,20.0,2020-08-24 04:00:00,2020/08/24/0400Z,30.2
1308,2020-08-24 12:00:00,19.0,2020-08-24 05:00:00,2020/08/24/0500Z,30.2
1309,2020-08-24 13:00:00,25.0,2020-08-24 06:00:00,2020/08/24/0600Z,31.4
1310,2020-08-24 14:00:00,16.0,2020-08-24 07:00:00,2020/08/24/0700Z,31.4
1311,2020-08-24 15:00:00,19.0,2020-08-24 08:00:00,2020/08/24/0800Z,31.4
1312,2020-08-24 16:00:00,26.0,2020-08-24 09:00:00,2020/08/24/0900Z,31.8
1313,2020-08-24 17:00:00,22.0,2020-08-24 10:00:00,2020/08/24/1000Z,31.8
1314,2020-08-24 18:00:00,21.0,2020-08-24 11:00:00,2020/08/24/1100Z,31.8
1315,2020-08-24 19:00:00,22.0,2020-08-24 12:00:00,2020/08/24/1200Z,30.4
1316,2020-08-24 20:00:00,14.0,2020-08-24 13:00:00,2020/08/24/1300Z,30.4
1317,2020-08-24 21:00:00,18.0,2020-08-24 14:00:00,2020/08/24/1400Z,30.4
1318,2020-08-24 22:00:00,19.0,2020-08-24 15:00:00,2020/08/24/1500Z,29.5
1319,2020-08-24 23:00:00,19.0,2020-08-24 16:00:00,2020/08/24/1600Z,29.5
1320,2020-08-25 00:00:00,10.0,2020-08-24 17:00:00,2020/08/24/1700Z,29.5
1321,2020-08-25 01:00:00,18.0,2020-08-24 18:00:00,2020/08/24/1800Z,28.5
1322,2020-08-25 02:00:00,17.0,2020-08-24 19:00:00,2020/08/24/1900Z,28.5
1323,2020-08-25 03:00:00,20.0,2020-08-24 20:00:00,2020/08/24/2000Z,28.5
1324,2020-08-25 04:00:00,20.0,2020-08-24 21:00:00,2020/08/24/2100Z,28.1
1325,2020-08-25 05:00:00,22.0,2020-08-24 22:00:00,2020/08/24/2200Z,28.1
1326,2020-08-25 06:00:00,27.0,2020-08-24 23:00:00,2020/08/24/2300Z,28.1
1327,2020-08-25 07:00:00,24.0,2020-08-25 00:00:00,2020/08/25/0000Z,27.9
