,date,PM2.5,date_utc,url_date,temp,wind
8188,2021-06-07 04:00:00,18.0,2021-06-06 21:00:00,2021/06/06/2100Z,22.8,280° @ 21
8189,2021-06-07 05:00:00,17.0,2021-06-06 22:00:00,2021/06/06/2200Z,22.8,280° @ 18
8190,2021-06-07 06:00:00,17.0,2021-06-06 23:00:00,2021/06/06/2300Z,22.9,285° @ 14
8191,2021-06-07 07:00:00,17.0,2021-06-07 00:00:00,2021/06/07/0000Z,24.0,290° @ 13
8192,2021-06-07 08:00:00,17.0,2021-06-07 01:00:00,2021/06/07/0100Z,24.8,290° @ 12
8193,2021-06-07 09:00:00,17.0,2021-06-07 02:00:00,2021/06/07/0200Z,25.7,285° @ 11
8194,2021-06-07 10:00:00,17.0,2021-06-07 03:00:00,2021/06/07/0300Z,26.6,265° @ 10
8195,2021-06-07 11:00:00,17.0,2021-06-07 04:00:00,2021/06/07/0400Z,27.7,245° @ 11
8196,2021-06-07 12:00:00,17.0,2021-06-07 05:00:00,2021/06/07/0500Z,28.8,235° @ 12
8197,2021-06-07 13:00:00,16.0,2021-06-07 06:00:00,2021/06/07/0600Z,28.8,230° @ 14
8198,2021-06-07 14:00:00,,2021-06-07 07:00:00,2021/06/07/0700Z,29.9,225° @ 13
8199,2021-06-07 15:00:00,16.0,2021-06-07 08:00:00,2021/06/07/0800Z,29.8,225° @ 14
8200,2021-06-07 16:00:00,16.0,2021-06-07 09:00:00,2021/06/07/0900Z,29.5,225° @ 14
8201,2021-06-07 17:00:00,17.0,2021-06-07 10:00:00,2021/06/07/1000Z,29.5,230° @ 14
8202,2021-06-07 18:00:00,,2021-06-07 11:00:00,2021/06/07/1100Z,28.6,230° @ 14
8203,2021-06-07 19:00:00,17.0,2021-06-07 12:00:00,2021/06/07/1200Z,26.3,245° @ 15
8204,2021-06-07 20:00:00,,2021-06-07 13:00:00,2021/06/07/1300Z,24.6,230° @ 16
8205,2021-06-07 21:00:00,17.0,2021-06-07 14:00:00,2021/06/07/1400Z,24.1,225° @ 17
8206,2021-06-07 22:00:00,18.0,2021-06-07 15:00:00,2021/06/07/1500Z,23.7,225° @ 18
8207,2021-06-07 23:00:00,18.0,2021-06-07 16:00:00,2021/06/07/1600Z,23.3,230° @ 17
8208,2021-06-08 00:00:00,18.0,2021-06-07 17:00:00,2021/06/07/1700Z,23.2,240° @ 16
8209,2021-06-08 01:00:00,18.0,2021-06-07 18:00:00,2021/06/07/1800Z,23.1,260° @ 16
8210,2021-06-08 02:00:00,18.0,2021-06-07 19:00:00,2021/06/07/1900Z,22.9,270° @ 18
